"It.";"bias";"CIW";"cov";"R_mean";"R_var";"AC_mean_X";"AC_mean_Z1";"AC_mean_Z2";"AC_mean_Y";"AC_var_X";"AC_var_Z1";"AC_var_Z2";"AC_var_Y"
50;-0,0595329307135461;0,998232969330939;1;1,0304510818851;1,02485888709305;-0,15232038974292;-0,0449182969987623;0,0216615459243126;0,027010313030991;-0,109760615702194;-0,071532867296622;-0,125394832830707;-0,129211498539981
51;-0,061259308783358;1,00404143389816;1;1,03001986293703;1,02472749168901;-0,186241078565633;-0,0472889644964896;0,0616429229275742;0,0711564422162841;-0,107648621383752;-0,0720248364683665;-0,112166715579261;-0,0771388065222833
52;-0,0578194989334508;0,66993637036316;1;1,02888620484189;1,02344703620428;-0,156020622627473;-0,0483198970536112;0,0133327491321184;0,025418723258786;-0,104255826109882;-0,105436128380204;-0,0763209805967931;-0,04544730926611
53;-0,0928855768549916;0,948452866623171;1;1,02964483335727;1,02453423369543;-0,149778795076347;-0,0546607486031024;0,0673380070023872;0,0314671227299579;-0,102809465882044;-0,0661419328213668;-0,10633833104085;-0,0744867778012416
54;-0,0670113089623256;0,944057179616993;1;1,03014588679928;1,02388855818134;-0,143253850245601;-0,0227518268200304;0,0747631788451703;-0,0105370503358864;-0,070319538462209;-0,0690418118997522;-0,0961643272157821;-0,0833298342195385
55;-0,0711745287081422;0,867930576393596;0,9;1,03007500299692;1,02465824609243;-0,0871910442194763;-0,0223024613831424;0,0752701283394977;0,0344697822711402;-0,0700453745860864;-0,0452533157844079;-0,0999489485635596;-0,085002642263451
56;-0,0550291199733649;0,869006055313436;1;1,02713387674634;1,0232895022156;-0,0845362622421779;-0,0309947671415928;0,0282555875788567;-0,00847796039216478;-0,06846274872153;-0,039629237578167;-0,0558951283700658;-0,0822008379119636
57;-0,0765736982107513;0,756946267681144;0,9;1,02874829313906;1,02483742228011;-0,0862933710148542;0,00986408989416531;0,0268686966963137;0,0366233101187346;-0,074648200180261;-0,0487786510514875;-0,0971043770380752;-0,0874981579599071
58;-0,124986017985505;0,85798315735866;0,9;1,02685632848404;1,02318228360646;-0,0875015213020971;-0,0265553312846741;0,0244476712930056;-0,0271446205060119;-0,0222195946931611;-0,0584263566244866;-0,0935173102741922;-0,084474094015792
59;-0,111314792364947;0,803681787823957;0,9;1,02526797612366;1,02101696440589;-0,0814035007888567;-0,0338711545058777;0,111213972186495;-0,0293159304271057;-0,0175960461283049;-0,0583706659955208;-0,0634936272538027;-0,0732915569463619
60;-0,0935021246188585;1,07398703760848;1;1,02370371671679;1,02184869790627;-0,0818764775022503;-0,0297371688541435;0,104308996451416;-0,0293290864968358;-0,0182237013616959;-0,0464489585855561;-0,0281795574176671;-0,0842639542395504
61;-0,0958766780206083;0,936505432237708;1;1,02535163249148;1,02227278825986;-0,0692068252254334;-0,0299426329530053;0,0632965446232951;0,0110615429929631;-0,017178678365606;-0,0311180526460946;-0,0685326190933029;-0,110485616361982
62;-0,114136021143773;0,848582057803809;0,9;1,02518687573669;1,02174693679431;-0,0840815282105391;-0,0245628496722734;0,0615327972315013;0,01215875423056;-0,069022415420815;-0,0518927254001699;-0,0736306811478703;-0,109199784295021
